id_version,NC,mWMC,mcBC
51ea9b8ebcbe20e2d8a8a66b71e3cf92af1aa16b,1023,18.238514,0.21444462
7cc03e0ebebb69889204a68e2cf01a1b070a33e3,1023,18.234604,0.21444972
7cc03e0ebebb69889204a68e2cf01a1b070a33e3,1023,18.234604,0.21444972
beb5fe1853b287ab9a26d4d9d7910b8edaf092d1,1022,18.240704,0.2136734
c336dee7e968d9200cbf69e2d79a57b8f624f224,1023,18.265884,0.2129084
495135f8b704f9121590aa149093a5e49a3eb46f,986,18.839756,0.19672199
013a63dd74fb1e5dfc427950a5cd945484fe1e0f,985,18.833502,0.19691645
275e0b5f85bde0af1260e3051bd5e8b74672df42,987,18.74772,0.19694331
24d76ded7149e3896c25cd3a478373aae9b5bf09,987,18.849037,0.1968801
974c482aab44e6b02931934beb28155f0fabe62e,985,18.741117,0.19728297
c63e1cde157d4faf33bd8c386389f072b47bbfb4,990,18.747475,0.19696921
101f52257532673ef22944b7115455f689ed7a7c,990,18.750505,0.1968492
6612fa9b82579c01b0808bfe6c5da104664c5ced,990,18.782827,0.19699997
1142d28264495e981446dedc835f37c6c962ab9c,990,18.79192,0.19731869
880bda6ccf2c1053a201c7f59a1a7a823fe74f94,990,18.79192,0.19738914
8453a43d2afc29ce40bd6d43f4985f928ae3e2c8,990,18.7899,0.19860859
4a129c2a50b1fb90424f6db23d97947d2a12b1dc,988,18.818827,0.19829537
4a129c2a50b1fb90424f6db23d97947d2a12b1dc,988,18.818827,0.19829537
a30cdf048e64d937491065fcf9584137f188e0b8,988,18.82085,0.19802545
19eb8124721d2c9336bc722f326753f372d89364,988,18.821863,0.19802855
c5b1c6cda9f615f7a748103f58973b462f704eaa,988,18.816801,0.19867021
b8078029e88acfe85e50caaa4b078184d55c2a15,987,18.864235,0.1986165
0d80370c4c1d6f2f18a297e897b08d43159063ab,987,18.837893,0.19868214
df888966af1908c7c8f4ef2d568d9de02a6ae295,987,18.86221,0.19862103
7ad01227e3a54a6185953a9e790cda4db0d6543d,987,18.844984,0.1986556
b4d7489ed7e3756903cd37721c7543aec6c40ab9,987,18.877407,0.19786783
e41734ff40be4efcfd32f74e31ea1bef360e3470,987,18.950356,0.19226271
daf3401014656c09464055f5129d529cd2706306,987,18.950356,0.19226278
6d5c3096369cbe8e563f39500021ddb7deab3f79,987,18.957447,0.19054756
40b92f7fae890dcca67fe8875b611b970d1f5443,987,19.16616,0.17730427
29513ad879107ba2e74aae1eea547d45a4ed1412,987,18.854103,0.19406289
43145fb497029e850ea8f58a139d134673c8900c,987,19.04154,0.18574134
13526fe5797f51cd8e42e5ae652fd6ef713f3dcd,987,19.103344,0.18166137
7630592829a33805259e19f91aa5ecec19290533,990,19.138384,0.17743826
348db525a05b9f91f1b33954517ae1b6122f02f7,993,19.097683,0.1771707
724aeef0f99cb980859668da49883065e41b63b4,993,19.095669,0.17717086
3ffb749ec9ed49dbbdc40976d7e43a2ab350bdc4,993,19.10876,0.17716058
9f10ca8fa3b3e6ac5e7265880736cc2f79427b2d,993,19.159113,0.17583214
eb65e89fe5e998fec318124e010d07a0a56e86e5,993,19.180262,0.17571203
e4478abf2307611ba0b3d61bd68948a3a24705f7,992,19.193548,0.17435396
cc8ff6f2d11c521898e3e9388572fe199138ea86,993,19.186304,0.1744972
06e881c2219af258cc77b8fb26fa0f1327a3b4ae,993,19.186304,0.1744972
14ffc8ca06e9a7c0e00bbd0174c0f729f19474d4,993,19.186304,0.17449297
14ffc8ca06e9a7c0e00bbd0174c0f729f19474d4,993,19.186304,0.17449297
f0ed1864a3f79994c9418c89f60835d799d1de72,993,19.186304,0.17449297
af59c01db2a492e8cb3152ed4464a7b5e244affa,993,19.188318,0.17446086
9f02d1c1343faea1b3fc9462284ab35dc0c5f2a6,1009,19.444996,0.179627
da3f416b9129461089a67340bec45e5cfbab1dc7,1009,19.444996,0.17962857
bef61a26dc178eef6b459d47683db152aca872e1,1010,19.437624,0.17952523
19621fa8398a1ade9e0f47e5e1ec348465369ca4,1010,19.436634,0.17952633
ecd72e12eadb8b7cb03faf3628b93bbe9b9670d1,1010,19.434654,0.17952393
e1821cd2b39c87dd8e700934f599b8710992f2d2,1007,19.46872,0.17920044
e10f4e2689c3fc07fb6eec6ebba108883e22b11b,1022,19.619373,0.17609218
194fc47879d6f84dd5fc872b42d9edb3137a4c48,1027,19.5667,0.17548813
2a19120d9509a57d895c4a6862dcad023b79edbc,1027,19.5667,0.17548813
b4aaa5c6f15719938ad9464c5378b269c7983047,1027,19.5667,0.17548813
de6674f4ea2a5950bf7c60a927cbc5f0ad62b1cc,1027,19.5667,0.17548813
14bbc6f139341b8291ac24f85b97b1a855e1df9a,1027,19.544304,0.17550124
e4f165fa8c4c9a15b0a84a002fd4d50ff666fa02,1017,19.711897,0.17518806
d637ca8bd51a9cee12bb84cd5969a152438ee6d8,1017,19.711897,0.1751886
e09d55e3e90f4f01cedee8e861103d63a1fed856,1017,19.708948,0.17519
3f6fcb84c7d7f6a871834e54546eb56d01acea56,1017,19.6883,0.1751976
5401db8e897ea758b6e74bb4203aa1964ed23569,1017,19.686333,0.17521513
