chemin, class, classes_LOC, classe_CLOL, classe_DC, WMC, classe_BC
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\ExtendedCategoryAxis.java, ExtendedCategoryAxis, 238, 128, 0.5378151260504201, 20, 0.026890756302521007
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\LogarithmicAxis.java, LogarithmicAxis, 1008, 510, 0.5059523809523809, 96, 0.005270337301587301
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\MarkerAxisBand.java, MarkerAxisBand, 249, 106, 0.42570281124497994, 15, 0.028380187416331994
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\ModuloAxis.java, ModuloAxis, 378, 181, 0.47883597883597884, 29, 0.016511585477102717
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\MonthDateFormat.java, MonthDateFormat, 290, 138, 0.47586206896551725, 18, 0.026436781609195402
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\NumberAxis.java, NumberAxis, 1232, 492, 0.39935064935064934, 93, 0.004294093003770423
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\NumberAxis3D.java, NumberAxis3D, 162, 98, 0.6049382716049383, 7, 0.08641975308641976
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\NumberTick.java, NumberTick, 74, 55, 0.7432432432432432, 1, 0.7432432432432432
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\NumberTickUnit.java, NumberTickUnit, 126, 79, 0.626984126984127, 10, 0.0626984126984127
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\PeriodAxis.java, PeriodAxis, 1094, 440, 0.40219378427787933, 106, 0.0037942809837535787
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\PeriodAxisLabelInfo.java, PeriodAxisLabelInfo, 347, 170, 0.4899135446685879, 32, 0.015309798270893371
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\QuarterDateFormat.java, QuarterDateFormat, 190, 106, 0.5578947368421052, 14, 0.03984962406015037
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\SegmentedTimeline.java, SegmentedTimeline, 1598, 929, 0.581351689612015, 98, 0.0059321600980817854
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\StandardTickUnitSource.java, StandardTickUnitSource, 90, 64, 0.7111111111111111, 3, 0.23703703703703705
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\SubCategoryAxis.java, SubCategoryAxis, 413, 169, 0.4092009685230024, 37, 0.011059485635756821
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\SymbolAxis.java, SymbolAxis, 751, 244, 0.3249001331557923, 61, 0.005326231691078562
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\Tick.java, Tick, 170, 98, 0.5764705882352941, 15, 0.038431372549019606
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\TickUnit.java, TickUnit, 150, 95, 0.6333333333333333, 12, 0.05277777777777778
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\TickUnits.java, TickUnits, 198, 121, 0.6111111111111112, 15, 0.040740740740740744
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\TickUnitSource.java, TickUnitSource, 74, 63, 0.8513513513513513, 1, 0.8513513513513513
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\Timeline.java, Timeline, 146, 130, 0.8904109589041096, 1, 0.8904109589041096
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\ValueAxis.java, ValueAxis, 1512, 784, 0.5185185185185185, 142, 0.0036515388628064684
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis\ValueTick.java, ValueTick, 94, 62, 0.6595744680851063, 5, 0.13191489361702127
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\AbstractBlock.java, AbstractBlock, 622, 354, 0.5691318327974276, 58, 0.0098126178068522
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\Arrangement.java, Arrangement, 79, 64, 0.810126582278481, 1, 0.810126582278481
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\Block.java, Block, 111, 92, 0.8288288288288288, 1, 0.8288288288288288
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\BlockBorder.java, BlockBorder, 225, 119, 0.5288888888888889, 19, 0.02783625730994152
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\BlockContainer.java, BlockContainer, 263, 136, 0.5171102661596958, 27, 0.019152232079988733
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\BlockFrame.java, BlockFrame, 68, 54, 0.7941176470588235, 1, 0.7941176470588235
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\BlockParams.java, BlockParams, 126, 92, 0.7301587301587301, 7, 0.10430839002267574
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\BlockResult.java, BlockResult, 73, 54, 0.7397260273972602, 3, 0.2465753424657534
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\BorderArrangement.java, BorderArrangement, 549, 130, 0.23679417122040072, 65, 0.0036429872495446266
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\CenterArrangement.java, CenterArrangement, 305, 164, 0.5377049180327869, 23, 0.02337847469707769
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\ColorBlock.java, ColorBlock, 153, 94, 0.6143790849673203, 10, 0.06143790849673203
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\ColumnArrangement.java, ColumnArrangement, 351, 142, 0.4045584045584046, 36, 0.011237733459955683
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\EmptyBlock.java, EmptyBlock, 99, 72, 0.7272727272727273, 4, 0.18181818181818182
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\EntityBlockParams.java, EntityBlockParams, 56, 47, 0.8392857142857143, 1, 0.8392857142857143
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\EntityBlockResult.java, EntityBlockResult, 55, 45, 0.8181818181818182, 1, 0.8181818181818182
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\FlowArrangement.java, FlowArrangement, 417, 181, 0.434052757793765, 37, 0.011731155616047702
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\GridArrangement.java, GridArrangement, 270, 121, 0.44814814814814813, 29, 0.01545338441890166
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\LabelBlock.java, LabelBlock, 343, 187, 0.5451895043731778, 29, 0.018799638081833717
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\LengthConstraintType.java, LengthConstraintType, 126, 74, 0.5873015873015873, 11, 0.05339105339105339
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\LineBorder.java, LineBorder, 219, 100, 0.45662100456621, 21, 0.021743857360295715
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block\RectangleConstraint.java, RectangleConstraint, 352, 176, 0.5, 36, 0.013888888888888888
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\demo\BarChartDemo1.java, BarChartDemo1, 180, 87, 0.48333333333333334, 4, 0.12083333333333333
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\demo\PieChartDemo1.java, PieChartDemo1, 132, 78, 0.5909090909090909, 5, 0.1181818181818182
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\demo\TimeSeriesChartDemo1.java, TimeSeriesChartDemo1, 192, 84, 0.4375, 6, 0.07291666666666667
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\editor\ChartEditor.java, ChartEditor, 58, 47, 0.8103448275862069, 1, 0.8103448275862069
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\editor\ChartEditorFactory.java, ChartEditorFactory, 56, 46, 0.8214285714285714, 1, 0.8214285714285714
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\editor\ChartEditorManager.java, ChartEditorManager, 88, 64, 0.7272727272727273, 6, 0.12121212121212122
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\editor\DefaultAxisEditor.java, DefaultAxisEditor, 447, 222, 0.4966442953020134, 29, 0.01712566535524184
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\editor\DefaultChartEditor.java, DefaultChartEditor, 233, 91, 0.3905579399141631, 10, 0.03905579399141631
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\editor\DefaultChartEditorFactory.java, DefaultChartEditorFactory, 63, 49, 0.7777777777777778, 2, 0.3888888888888889
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\editor\DefaultColorBarEditor.java, DefaultColorBarEditor, 199, 86, 0.4321608040201005, 10, 0.04321608040201005
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\editor\DefaultNumberAxisEditor.java, DefaultNumberAxisEditor, 312, 111, 0.3557692307692308, 26, 0.013683431952662722
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\editor\DefaultPlotEditor.java, DefaultPlotEditor, 609, 191, 0.3136288998357964, 70, 0.004480412854797091
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\editor\DefaultTitleEditor.java, DefaultTitleEditor, 262, 99, 0.37786259541984735, 17, 0.02222721149528514
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\editor\PaletteChooserPanel.java, PaletteChooserPanel, 84, 56, 0.6666666666666666, 1, 0.6666666666666666
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\editor\PaletteSample.java, PaletteSample, 157, 86, 0.5477707006369427, 7, 0.07825295723384895
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\encoders\EncoderUtil.java, EncoderUtil, 181, 122, 0.6740331491712708, 1, 0.6740331491712708
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\encoders\ImageEncoder.java, ImageEncoder, 97, 79, 0.8144329896907216, 1, 0.8144329896907216
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\encoders\ImageEncoderFactory.java, ImageEncoderFactory, 155, 88, 0.567741935483871, 5, 0.1135483870967742
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\encoders\ImageFormat.java, ImageFormat, 54, 43, 0.7962962962962963, 1, 0.7962962962962963
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\encoders\KeypointPNGEncoderAdapter.java, KeypointPNGEncoderAdapter, 129, 83, 0.6434108527131783, 8, 0.08042635658914729
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\encoders\SunJPEGEncoderAdapter.java, SunJPEGEncoderAdapter, 166, 105, 0.6325301204819277, 9, 0.07028112449799197
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\encoders\SunPNGEncoderAdapter.java, SunPNGEncoderAdapter, 121, 83, 0.6859504132231405, 7, 0.09799291617473437
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\entity\CategoryItemEntity.java, CategoryItemEntity, 357, 236, 0.6610644257703081, 25, 0.026442577030812323
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\entity\CategoryLabelEntity.java, CategoryLabelEntity, 88, 61, 0.6931818181818182, 2, 0.3465909090909091
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\entity\ChartEntity.java, ChartEntity, 384, 166, 0.4322916666666667, 36, 0.012008101851851853
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\entity\ContourEntity.java, ContourEntity, 129, 86, 0.6666666666666666, 9, 0.07407407407407407
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\entity\EntityCollection.java, EntityCollection, 108, 90, 0.8333333333333334, 1, 0.8333333333333334
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\entity\LegendItemEntity.java, LegendItemEntity, 199, 135, 0.678391959798995, 15, 0.04522613065326633
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\entity\PieSectionEntity.java, PieSectionEntity, 171, 115, 0.672514619883041, 9, 0.07472384665367121
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\entity\StandardEntityCollection.java, StandardEntityCollection, 189, 114, 0.6031746031746031, 17, 0.035480859010270774
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\entity\TickLabelEntity.java, TickLabelEntity, 63, 48, 0.7619047619047619, 1, 0.7619047619047619
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\entity\XYAnnotationEntity.java, XYAnnotationEntity, 107, 67, 0.6261682242990654, 7, 0.08945260347129505
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\entity\XYItemEntity.java, XYItemEntity, 167, 107, 0.6407185628742516, 12, 0.053393213572854294
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\event\AxisChangeEvent.java, AxisChangeEvent, 69, 52, 0.7536231884057971, 2, 0.37681159420289856
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\event\AxisChangeListener.java, AxisChangeListener, 63, 53, 0.8412698412698413, 1, 0.8412698412698413
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\event\ChartChangeEvent.java, ChartChangeEvent, 122, 86, 0.7049180327868853, 6, 0.11748633879781421
