chemin, class, classes_LOC, classe_CLOL, classe_DC, WMC, classe_BC
src\test\java\org\jfree\data\time\ohlc\OHLCSeriesTest.java, OHLCSeriesTest, 226, 75, 0.33185840707964603, 12, 0.02765486725663717
src\test\java\org\jfree\data\time\ohlc\OHLCTest.java, OHLCTest, 98, 45, 0.45918367346938777, 4, 0.11479591836734694
src\test\java\org\jfree\data\xy\CategoryTableXYDatasetTest.java, CategoryTableXYDatasetTest, 162, 56, 0.345679012345679, 6, 0.05761316872427983
src\test\java\org\jfree\data\xy\DefaultHighLowDatasetTest.java, DefaultHighLowDatasetTest, 161, 45, 0.2795031055900621, 4, 0.06987577639751552
src\test\java\org\jfree\data\xy\DefaultIntervalXYDatasetTest.java, DefaultIntervalXYDatasetTest, 318, 95, 0.29874213836477986, 17, 0.01757306696263411
src\test\java\org\jfree\data\xy\DefaultOHLCDatasetTest.java, DefaultOHLCDatasetTest, 135, 52, 0.3851851851851852, 6, 0.06419753086419754
src\test\java\org\jfree\data\xy\DefaultTableXYDatasetTest.java, DefaultTableXYDatasetTest, 171, 55, 0.3216374269005848, 6, 0.05360623781676413
src\test\java\org\jfree\data\xy\DefaultWindDatasetTest.java, DefaultWindDatasetTest, 167, 71, 0.4251497005988024, 8, 0.0531437125748503
src\test\java\org\jfree\data\xy\DefaultXYDatasetTest.java, DefaultXYDatasetTest, 195, 67, 0.3435897435897436, 8, 0.04294871794871795
src\test\java\org\jfree\data\xy\DefaultXYZDatasetTest.java, DefaultXYZDatasetTest, 201, 67, 0.3333333333333333, 8, 0.041666666666666664
src\test\java\org\jfree\data\xy\IntervalXYDelegateTest.java, IntervalXYDelegateTest, 103, 42, 0.4077669902912621, 3, 0.13592233009708737
src\test\java\org\jfree\data\xy\MatrixSeriesCollectionTest.java, MatrixSeriesCollectionTest, 103, 46, 0.44660194174757284, 4, 0.11165048543689321
src\test\java\org\jfree\data\xy\MatrixSeriesTest.java, MatrixSeriesTest, 144, 51, 0.3541666666666667, 6, 0.05902777777777778
src\test\java\org\jfree\data\xy\OHLCDataItemTest.java, OHLCDataItemTest, 74, 42, 0.5675675675675675, 3, 0.18918918918918917
src\test\java\org\jfree\data\xy\TableXYDatasetTest.java, TableXYDatasetTest, 235, 97, 0.4127659574468085, 13, 0.03175122749590835
src\test\java\org\jfree\data\xy\VectorDataItemTest.java, VectorDataItemTest, 104, 46, 0.4423076923076923, 4, 0.11057692307692307
src\test\java\org\jfree\data\xy\VectorSeriesCollectionTest.java, VectorSeriesCollectionTest, 125, 49, 0.392, 5, 0.0784
src\test\java\org\jfree\data\xy\VectorSeriesTest.java, VectorSeriesTest, 246, 81, 0.32926829268292684, 12, 0.027439024390243903
src\test\java\org\jfree\data\xy\VectorTest.java, VectorTest, 92, 46, 0.5, 4, 0.125
src\test\java\org\jfree\data\xy\XIntervalDataItemTest.java, XIntervalDataItemTest, 107, 49, 0.45794392523364486, 4, 0.11448598130841121
src\test\java\org\jfree\data\xy\XIntervalSeriesCollectionTest.java, XIntervalSeriesCollectionTest, 164, 60, 0.36585365853658536, 6, 0.06097560975609756
src\test\java\org\jfree\data\xy\XIntervalSeriesTest.java, XIntervalSeriesTest, 264, 85, 0.32196969696969696, 14, 0.022997835497835496
src\test\java\org\jfree\data\xy\XYBarDatasetTest.java, XYBarDatasetTest, 118, 48, 0.4067796610169492, 4, 0.1016949152542373
src\test\java\org\jfree\data\xy\XYCoordinateTest.java, XYCoordinateTest, 92, 46, 0.5, 4, 0.125
src\test\java\org\jfree\data\xy\XYDataItemTest.java, XYDataItemTest, 79, 42, 0.5316455696202531, 3, 0.1772151898734177
src\test\java\org\jfree\data\xy\XYIntervalDataItemTest.java, XYIntervalDataItemTest, 124, 51, 0.4112903225806452, 4, 0.1028225806451613
src\test\java\org\jfree\data\xy\XYIntervalSeriesCollectionTest.java, XYIntervalSeriesCollectionTest, 158, 59, 0.37341772151898733, 6, 0.06223628691983122
src\test\java\org\jfree\data\xy\XYIntervalSeriesTest.java, XYIntervalSeriesTest, 256, 82, 0.3203125, 13, 0.024639423076923076
src\test\java\org\jfree\data\xy\XYIntervalTest.java, XYIntervalTest, 90, 42, 0.4666666666666667, 3, 0.15555555555555556
src\test\java\org\jfree\data\xy\XYSeriesCollectionTest.java, XYSeriesCollectionTest, 416, 99, 0.23798076923076922, 16, 0.014873798076923076
src\test\java\org\jfree\data\xy\XYSeriesTest.java, XYSeriesTest, 672, 153, 0.22767857142857142, 36, 0.006324404761904762
src\test\java\org\jfree\data\xy\YIntervalDataItemTest.java, YIntervalDataItemTest, 112, 54, 0.48214285714285715, 4, 0.12053571428571429
src\test\java\org\jfree\data\xy\YIntervalSeriesCollectionTest.java, YIntervalSeriesCollectionTest, 150, 57, 0.38, 6, 0.06333333333333334
src\test\java\org\jfree\data\xy\YIntervalSeriesTest.java, YIntervalSeriesTest, 242, 79, 0.32644628099173556, 12, 0.027203856749311296
src\test\java\org\jfree\data\xy\YIntervalTest.java, YIntervalTest, 82, 42, 0.5121951219512195, 3, 0.17073170731707318
src\test\java\org\jfree\data\xy\YWithXIntervalTest.java, YWithXIntervalTest, 82, 42, 0.5121951219512195, 3, 0.17073170731707318
