id_version,NC,mWMC,mcBC
7cdbfbe047f81907244de9428b27db49b0fa5107,1023,18.238514,0.21444911
b372d008db90bb8c919d4b6a636553bd9c2b21e1,1022,18.276909,0.21353188
f3a1462fe6d50f212ece060e27adafe41fab7f33,1024,18.235352,0.21344408
6432327ed536f43651c6fbabad674bbd4e6089b2,1025,18.28878,0.21277188
49b5b1304a33a66438344b0f040ed49af4bb7400,1006,18.680914,0.19945428
5811f946c5c93636aaeeb9891650f38b3aeb6bc6,985,18.839594,0.19690347
33cd3af2f334ed9cfdbbcefc9b66011afcfb6652,985,18.833502,0.19710146
d4d2b7ca59ce4b0a9cae55bfbf7785b7dd28c2b2,985,18.840609,0.19709645
c9f921412f96941ca201b04b8892aae78437c466,987,18.86221,0.19683379
e47b784fd461395f2816bebf5927ed7d5bde222f,987,18.74772,0.19694577
28114bcbe0a89ca83427187e98897849dbf5fa0e,987,18.740627,0.19694792
d2cc3fc846184313929ca121819ea6463e4ee787,985,18.741117,0.19728696
51ecd9dda34fbf652ce125114a821379c0e85937,985,18.738071,0.19729258
9b93aa38ba00bef14d94a55eb4cd2ac598fff8a9,990,18.751514,0.19683148
e8e8f47e38b23156bd7f23641d45c9fda3ef4c42,990,18.775757,0.19694287
10391a106e27de9f3ead9711e0d77e57f4a642de,990,18.79192,0.19728257
1023bf57fc3033a6e381dac9fa700a0d0c89cb21,990,18.7899,0.19777566
04ef6799407af6fe291428d287e5a2204809c851,989,18.798786,0.19861066
3e13a50e8b025d15b978faffb0843080be20d4b3,988,18.818827,0.19816287
7b721dd91af50e2f1e22d31b7a2a391869f0685d,988,18.82085,0.1980276
c6ce45553e8ff6836d4e06dc14576abddf079192,988,18.822874,0.19812058
6fc1fa214ba6da1dd49bb92a320240bd7a53dfba,988,18.816801,0.19845304
285c0a107dde49653d513dbf2eed7e567fbef342,988,18.816801,0.1986638
e9686b8b93476437cc8c5892189ca9df17e6f9d9,987,18.798378,0.19908455
d7aaffdd14c98eefb01bd772195ea4fee7a1994f,987,18.83688,0.19868217
7ad01227e3a54a6185953a9e790cda4db0d6543d,987,18.844984,0.1986556
d51bf3210513f8056705384fb8f4c2f9cb3d3226,987,19.16312,0.17771773
f1611924cfb59417e68993a7bcea4db0ef0475f0,987,18.94934,0.1905783
893f9b150212790041c1f5019ea5c04d3904a713,987,19.16312,0.17772382
18a5145943d646837f2cc8d5c89ff0a6cfd3dd09,990,19.140404,0.17742419
a7156d4595ff7f6a7c8dac50625295c284b86732,993,19.097683,0.17717071
4544ff3aceea4d094516607e1b06f54e0eeae86f,993,19.16012,0.17583875
